benchmark,suite,compiler,iteration,wall_s,time_wall_s,user_s,sys_s,rss_kb,object_bytes
bitmix_sha_style,embench_style,YSX,22,0.013234221,0.010000,0.000000,0.000000,57600,1368
bitmix_sha_style,embench_style,YSX,23,0.014021442,0.010000,0.010000,0.000000,57728,1368
bitmix_sha_style,embench_style,YSX,24,0.012860862,0.010000,0.010000,0.000000,58496,1368
bitmix_sha_style,embench_style,YSX,25,0.013913509,0.010000,0.000000,0.000000,59008,1368
bitmix_sha_style,embench_style,YSX,26,0.014044493,0.010000,0.000000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,27,0.015308924,0.010000,0.000000,0.000000,58496,1368
bitmix_sha_style,embench_style,YSX,28,0.014996032,0.010000,0.010000,0.000000,57856,1368
bitmix_sha_style,embench_style,YSX,29,0.016474117,0.010000,0.000000,0.000000,57856,1368
bitmix_sha_style,embench_style,RISCV,0,0.016989584,0.010000,0.010000,0.000000,61952,1360
bitmix_sha_style,embench_style,RISCV,1,0.014821505,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,2,0.015444648,0.010000,0.010000,0.000000,61440,1360
bitmix_sha_style,embench_style,RISCV,3,0.016774158,0.010000,0.010000,0.000000,61312,1360
bitmix_sha_style,embench_style,RISCV,4,0.016054118,0.010000,0.000000,0.010000,61568,1360
bitmix_sha_style,embench_style,RISCV,5,0.014942100,0.010000,0.010000,0.000000,61440,1360
bitmix_sha_style,embench_style,RISCV,6,0.014689132,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,7,0.015086823,0.010000,0.010000,0.000000,61696,1360
bitmix_sha_style,embench_style,RISCV,8,0.015045347,0.010000,0.010000,0.000000,61056,1360
bitmix_sha_style,embench_style,RISCV,9,0.015482608,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,10,0.015084641,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,11,0.015631926,0.010000,0.000000,0.010000,60760,1360
bitmix_sha_style,embench_style,RISCV,12,0.014783924,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,13,0.014914782,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,14,0.014783467,0.010000,0.000000,0.010000,61568,1360
bitmix_sha_style,embench_style,RISCV,15,0.015031970,0.010000,0.010000,0.000000,61696,1360
bitmix_sha_style,embench_style,RISCV,16,0.015840230,0.010000,0.010000,0.000000,61824,1360
bitmix_sha_style,embench_style,RISCV,17,0.015010018,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,18,0.014748104,0.010000,0.010000,0.000000,61440,1360
bitmix_sha_style,embench_style,RISCV,19,0.015013811,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,20,0.014867490,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,21,0.014446665,0.010000,0.000000,0.000000,61696,1360
bitmix_sha_style,embench_style,RISCV,22,0.014673254,0.010000,0.010000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,23,0.015061055,0.010000,0.000000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,24,0.014357560,0.010000,0.010000,0.000000,61952,1360
bitmix_sha_style,embench_style,RISCV,25,0.014411761,0.010000,0.000000,0.000000,61696,1360
bitmix_sha_style,embench_style,RISCV,26,0.014585715,0.010000,0.010000,0.000000,61440,1360
bitmix_sha_style,embench_style,RISCV,27,0.015140050,0.010000,0.000000,0.000000,61568,1360
bitmix_sha_style,embench_style,RISCV,28,0.014493098,0.010000,0.010000,0.000000,61696,1360
bitmix_sha_style,embench_style,RISCV,29,0.015022400,0.010000,0.010000,0.000000,61568,1360
montgomery64,embench_style,YSX,0,0.012046893,0.010000,0.010000,0.000000,56792,1480
montgomery64,embench_style,YSX,1,0.011869347,0.010000,0.010000,0.000000,56784,1480
montgomery64,embench_style,YSX,2,0.011933255,0.010000,0.000000,0.000000,57532,1480
montgomery64,embench_style,YSX,3,0.011873628,0.010000,0.010000,0.000000,56792,1480
montgomery64,embench_style,YSX,4,0.011808086,0.010000,0.000000,0.010000,56412,1480
montgomery64,embench_style,YSX,5,0.011236028,0.010000,0.000000,0.010000,57816,1480
montgomery64,embench_style,YSX,6,0.012178442,0.010000,0.010000,0.000000,57816,1480
montgomery64,embench_style,YSX,7,0.012741840,0.010000,0.010000,0.000000,56792,1480
montgomery64,embench_style,YSX,8,0.011967552,0.010000,0.010000,0.000000,57560,1480
montgomery64,embench_style,YSX,9,0.012233124,0.010000,0.010000,0.000000,56536,1480
montgomery64,embench_style,YSX,10,0.011550429,0.010000,0.010000,0.000000,57812,1480
montgomery64,embench_style,YSX,11,0.011633342,0.010000,0.010000,0.000000,56924,1480
montgomery64,embench_style,YSX,12,0.012316254,0.010000,0.010000,0.000000,57564,1480
montgomery64,embench_style,YSX,13,0.011894700,0.010000,0.000000,0.010000,56536,1480
montgomery64,embench_style,YSX,14,0.011494633,0.010000,0.010000,0.000000,56916,1480
montgomery64,embench_style,YSX,15,0.012220733,0.010000,0.010000,0.000000,56920,1480
montgomery64,embench_style,YSX,16,0.011646089,0.010000,0.010000,0.000000,56536,1480
montgomery64,embench_style,YSX,17,0.012648765,0.010000,0.010000,0.000000,57428,1480
montgomery64,embench_style,YSX,18,0.011684419,0.010000,0.000000,0.010000,56920,1480
montgomery64,embench_style,YSX,19,0.011403331,0.010000,0.010000,0.000000,57816,1480
montgomery64,embench_style,YSX,20,0.012780321,0.010000,0.010000,0.000000,56792,1480
montgomery64,embench_style,YSX,21,0.012245557,0.010000,0.010000,0.000000,57432,1480
montgomery64,embench_style,YSX,22,0.012208216,0.010000,0.010000,0.000000,56532,1480
montgomery64,embench_style,YSX,23,0.011857796,0.010000,0.010000,0.000000,57176,1480
montgomery64,embench_style,YSX,24,0.011318122,0.010000,0.010000,0.000000,56404,1480
montgomery64,embench_style,YSX,25,0.012032154,0.010000,0.010000,0.000000,57428,1480
montgomery64,embench_style,YSX,26,0.013218839,0.010000,0.010000,0.000000,57556,1480
montgomery64,embench_style,YSX,27,0.011631943,0.010000,0.010000,0.000000,56920,1480
montgomery64,embench_style,YSX,28,0.012062123,0.010000,0.010000,0.000000,56924,1480
montgomery64,embench_style,YSX,29,0.012257003,0.010000,0.010000,0.000000,56540,1480
montgomery64,embench_style,RISCV,0,0.013777074,0.010000,0.010000,0.000000,60896,1480
montgomery64,embench_style,RISCV,1,0.013338626,0.010000,0.000000,0.010000,61024,1480
montgomery64,embench_style,RISCV,2,0.014384970,0.010000,0.010000,0.000000,60900,1480
montgomery64,embench_style,RISCV,3,0.014468116,0.010000,0.010000,0.000000,61016,1480
montgomery64,embench_style,RISCV,4,0.014013217,0.010000,0.000000,0.010000,60900,1480
montgomery64,embench_style,RISCV,5,0.015137353,0.010000,0.000000,0.000000,60896,1480
montgomery64,embench_style,RISCV,6,0.014988594,0.010000,0.010000,0.000000,60900,1480
montgomery64,embench_style,RISCV,7,0.013363516,0.010000,0.010000,0.000000,61664,1480
montgomery64,embench_style,RISCV,8,0.012908931,0.010000,0.010000,0.000000,61028,1480
montgomery64,embench_style,RISCV,9,0.013947288,0.010000,0.010000,0.000000,60896,1480
montgomery64,embench_style,RISCV,10,0.014476551,0.010000,0.010000,0.000000,60900,1480
montgomery64,embench_style,RISCV,11,0.014207245,0.010000,0.010000,0.000000,61540,1480
montgomery64,embench_style,RISCV,12,0.013333372,0.010000,0.010000,0.000000,61668,1480
montgomery64,embench_style,RISCV,13,0.013903239,0.010000,0.010000,0.000000,60892,1480
montgomery64,embench_style,RISCV,14,0.014523063,0.010000,0.000000,0.000000,61532,1480
montgomery64,embench_style,RISCV,15,0.014872485,0.010000,0.010000,0.000000,60508,1480
montgomery64,embench_style,RISCV,16,0.014808327,0.010000,0.000000,0.000000,60896,1480
montgomery64,embench_style,RISCV,17,0.013270199,0.010000,0.010000,0.000000,60900,1480
montgomery64,embench_style,RISCV,18,0.013587730,0.010000,0.000000,0.010000,60900,1480
montgomery64,embench_style,RISCV,19,0.014439356,0.010000,0.010000,0.000000,61284,1480
montgomery64,embench_style,RISCV,20,0.013646938,0.010000,0.010000,0.000000,61288,1480
montgomery64,embench_style,RISCV,21,0.013441208,0.010000,0.000000,0.000000,61536,1480
montgomery64,embench_style,RISCV,22,0.013843370,0.010000,0.010000,0.000000,61156,1480
montgomery64,embench_style,RISCV,23,0.015050272,0.010000,0.000000,0.000000,60508,1480
montgomery64,embench_style,RISCV,24,0.015177524,0.010000,0.010000,0.000000,61028,1480
montgomery64,embench_style,RISCV,25,0.014034540,0.010000,0.000000,0.000000,61412,1480
montgomery64,embench_style,RISCV,26,0.014533587,0.010000,0.010000,0.000000,61156,1480
montgomery64,embench_style,RISCV,27,0.014352240,0.010000,0.000000,0.010000,61028,1480
montgomery64,embench_style,RISCV,28,0.014138022,0.010000,0.010000,0.000000,61152,1480
montgomery64,embench_style,RISCV,29,0.013657147,0.010000,0.000000,0.000000,60896,1480
insertion_sort,embench_style,YSX,0,0.012088432,0.010000,0.010000,0.000000,56664,1536
insertion_sort,embench_style,YSX,1,0.012362784,0.010000,0.010000,0.000000,57052,1536
insertion_sort,embench_style,YSX,2,0.012854514,0.010000,0.010000,0.000000,56288,1536
insertion_sort,embench_style,YSX,3,0.012014519,0.010000,0.000000,0.000000,56544,1536
insertion_sort,embench_style,YSX,4,0.011390044,0.010000,0.000000,0.010000,56028,1536
insertion_sort,embench_style,YSX,5,0.012502130,0.010000,0.010000,0.000000,56800,1536
insertion_sort,embench_style,YSX,6,0.011928380,0.010000,0.010000,0.000000,56060,1536
insertion_sort,embench_style,YSX,7,0.012089559,0.010000,0.000000,0.010000,56924,1536
insertion_sort,embench_style,YSX,8,0.012817375,0.010000,0.010000,0.000000,56152,1536
insertion_sort,embench_style,YSX,9,0.012336516,0.010000,0.010000,0.000000,56408,1536
insertion_sort,embench_style,YSX,10,0.011912783,0.010000,0.010000,0.000000,56928,1536
insertion_sort,embench_style,YSX,11,0.011841000,0.010000,0.000000,0.000000,56660,1536
insertion_sort,embench_style,YSX,12,0.011442561,0.010000,0.010000,0.000000,56924,1536
insertion_sort,embench_style,YSX,13,0.011972823,0.010000,0.010000,0.000000,56288,1536
insertion_sort,embench_style,YSX,14,0.012484234,0.010000,0.010000,0.000000,56284,1536
insertion_sort,embench_style,YSX,15,0.011895080,0.010000,0.000000,0.010000,56672,1536
insertion_sort,embench_style,YSX,16,0.012631656,0.010000,0.000000,0.000000,56160,1536
insertion_sort,embench_style,YSX,17,0.011872481,0.010000,0.000000,0.010000,56156,1536
insertion_sort,embench_style,YSX,18,0.011750451,0.010000,0.010000,0.000000,56160,1536
insertion_sort,embench_style,YSX,19,0.012503033,0.010000,0.010000,0.000000,56032,1536
insertion_sort,embench_style,YSX,20,0.012257941,0.010000,0.010000,0.000000,56424,1536
insertion_sort,embench_style,YSX,21,0.012389155,0.010000,0.000000,0.000000,56156,1536
insertion_sort,embench_style,YSX,22,0.012068021,0.010000,0.010000,0.000000,57052,1536
insertion_sort,embench_style,YSX,23,0.012090965,0.010000,0.010000,0.000000,56288,1536
insertion_sort,embench_style,YSX,24,0.012650791,0.010000,0.010000,0.000000,56796,1536
insertion_sort,embench_style,YSX,25,0.012750738,0.010000,0.000000,0.010000,56928,1536
insertion_sort,embench_style,YSX,26,0.014517278,0.010000,0.010000,0.000000,56284,1536
insertion_sort,embench_style,YSX,27,0.012558538,0.010000,0.000000,0.000000,56800,1536
insertion_sort,embench_style,YSX,28,0.011727615,0.010000,0.000000,0.010000,56672,1536
insertion_sort,embench_style,YSX,29,0.012248223,0.010000,0.000000,0.010000,56280,1536
insertion_sort,embench_style,RISCV,0,0.013706954,0.010000,0.010000,0.000000,60252,1536
insertion_sort,embench_style,RISCV,1,0.013508249,0.010000,0.010000,0.000000,60508,1536
